GA Attribution Campaign,GA Attribution Channel,GA Attribution Medium,Orders Order ID,Orders User ID,Orders Placed Date,Order Products Product ID,Order Skus ID,Contacts Contact ID,Users Is User Account Created (Yes / No),Orders Net Revenue,Contacts Email Domain,Order Products Product Name,Order Products Merchandising Category,Order Products First Tier Derpartment Name,Order Products Primary Department Name,Order Products Show on Product Page Tag Names,Order Products Show on Search Page Tag Names,Order Products Is Product Active (Yes / No),Order Skus Packaging Type,GA Attribution Source,Orders Shipping Fee Amount,Orders Unique Merchandising Category Name,Orders Billed to City,Orders Billed to State Prov,Orders Billed to Country Code,Order Skus List Price,Order Skus After Discount Price,Order Skus Before Discount Price,Contacts First Subscribed Date,Contacts First Subscribed Time,Orders Placed Time,Orders Is Placed Day Holiday (Yes / No),Order Skus Discount,Orders Canceled Date,Order Skus Weight,KW Skus Data Net Weight,Order Skus Packaging Type Code,Gifting Is Gift (Yes / No),Orders Discount Fee Amount,KW Skus Data Meltable (Yes / No),Orders Total New Order Revenue,Order Skus Count of Pieces,Order Skus Gross Profit,Accrued Gross Margin,Accrued Product Cost,Shipments Total Shipping Revenue,Order Skus Total Raw Material Cost,Order Skus Total Packaging Cost,Shipments Total Heat Resistant Packaging Cost,Order Skus Total Filling Labor Cost,Accrued Direct Labor Fulfillment Cost,Accrued Direct Labor Support Cost,Accrued Direct Labor Others Cost,Accrued Indirect Labor Cost,Accrued Freight Out Cost,Accrued Credit Card Processing Fee,Accrued Others Cost,Shipments Total Actual Carrier Cost,Orders Total Shipping Carrier Fees
GSN - Items - Low Volume,google,cpc,12867668,,2022-04-13,4919,4919-01,1122746,No,32.97,gmail.com,Roasted Mixed Nuts (50% Less Salt),Nuts,Nuts,Mixed Nuts,"salted,toasted,roasted,kosher,kosher pareve","vegan,nuts,salted,oil roasted,snacks,toasted,roasted,assorted (flavor),whole 30,kosher,out of shell,best sellers,nuts and seeds,paleo,50% less salt,kosher pareve",Yes,Medium 1 Pound Bag,google,6.99,Nuts,Cleveland,VA,US,12.99,12.99,12.99,2016-12-12,2016-12-12 20:34:06,2022-04-13 11:56:53,No,0,,1,1,M,Yes,0,No,0,2,25.98,32.191034,0,6.99,0,0.16,0,0.618966,0,0,0,0,0,0,0,0,8.95
,,,12867532,1693614,2022-04-13,1502,1502-01,3014247,Yes,118.91,hotmail.com,Organic Dried Mango,Dried Fruit,Dried Fruit,Mango,"no sulphur dioxide,kosher pareve,organic,kosher,certified gluten-free,no sugar added,gluten-free","natural,no sulphur dioxide,kosher pareve,whole 30,dried fruit,snacks,vegan,organic,kosher,paleo,certified gluten-free,no sugar added,best sellers,gluten-free",Yes,Large 1 Pound Bag,,0,"Dried Fruit,Nuts,Snacks",Austin,TX,US,14.99,14.99,14.99,2020-05-20,2020-05-20 14:24:25,2022-04-13 11:43:41,No,0,,1,1,L,No,0,No,0,1,14.99,117.55206799999999,0,0,0,0.12,0,1.237932,0,0,0,0,0,0,0,0,5.75
,,,12866054,667927,2022-04-13,7412,7412-01,281806,Yes,90.17,mindspring.com,Sprouted Pumpkin Seeds,Seeds,Snacks,Pumpkin Seeds,"certified gluten-free,salted,sprouted,gluten-free","certified gluten-free,nuts and seeds,salted,sprouted,paleo,gluten-free",Yes,Small Black Bag,,0,"Dried Fruit,Nuts,Seeds,Snacks",Charlestown,RI,US,7.99,7.59,7.99,2021-04-23,2021-04-23 18:50:17,2022-04-13 05:03:30,No,-0.4,,0.5,0.5,SB,No,0,No,0,1,7.59,89.501034,0,0,0,0.05,0,0.618966,0,0,0,0,0,0,0,0,8.73
2022-03-11-Snacking-Streaming_DTC_1,,email,12866978,790322,2022-04-13,2001,2001-01,604840,Yes,79.89,yahoo.com,Raw Almonds (In Shell),Nuts,Nuts,Almonds,"kosher pareve,gluten-free,kosher,in shell,salt-free,certified gluten-free","nuts and seeds,kosher pareve,natural,gluten-free,kosher,in shell,salt-free,paleo,certified gluten-free,vegan,whole nuts,premium,nuts",Yes,Large 1 Pound Bag,Iterable,0,"Nuts,Chocolates & Sweets",Cordova,SC,US,5.99,5.99,5.99,2015-07-02,2015-07-02 23:29:29,2022-04-13 10:30:17,No,0,,1,1,L,No,0,No,0,2,11.98,79.031034,0,0,0,0.24,0,0.618966,0,0,0,0,0,0,0,0,13.65
(not set),,organic,12866432,,2022-04-13,8010,8010-01,2848501,No,66.94,gmail.com,Jericho Party Mix,Snacks,Snacks,Trail Mix,"spicy,hot & spicy,salty,salted","spicy,out of shell,hot & spicy,nuts,salty,salted,snacks",Yes,Medium 1 Pound Bag,google,0,"Nuts,Snacks",Astoria,NY,US,7.99,7.99,7.99,2019-10-02,2019-10-02 08:36:57,2022-04-13 08:12:27,No,0,,1,1,M,No,0,No,0,1,7.99,66.550517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,5.08
389818,,affiliate,12866930,1261940,2022-04-13,7015,7015-01,2312712,Yes,125.87,hotmail.com,"Roasted Sunflower Seeds (Salted, No Shell)",Seeds,Snacks,Sunflower Seeds,"salted,kosher pareve,kosher,seeds,sunflower seeds,roasted,gluten-free,certified gluten-free","nuts and seeds,salted,kosher pareve,best sellers,kosher,seeds,roasted,gluten-free,out of shell,certified gluten-free,oil roasted,snacks,nuts",Yes,Medium 1 Pound Bag,shareasale,0,"Dried Fruit,Nuts,Seeds,Baking",New Canaan,CT,US,4.99,4.99,4.99,2018-03-01,2018-03-01 09:41:40,2022-04-13 10:24:16,No,0,,1,1,M,No,0,No,0,2,9.98,125.09103400000001,0,0,0,0.16,0,0.618966,0,0,0,0,0,0,0,0,5.37
(not set),,(none),12866257,1215876,2022-04-13,1274,1274-01,2227575,Yes,67.94,gmail.com,Ground Ceylon Cinnamon,Cooking,Cooking,Cinnamon,"kosher,kosher pareve","baking,kosher,cooking,natural,kosher pareve",Yes,Small 1 Pound Bag,(direct),0,"Cooking,Baking,Nuts,Coffees & Teas",,,,14.99,14.99,14.99,2017-11-10,2017-11-10 15:41:09,2022-04-13 05:57:09,No,0,,0.5,0.5,S,No,0,No,0,1,14.99,67.291034,0,0,0,0.03,0,0.618966,0,0,0,0,0,0,0,0,6.33
,,,12866305,1112166,2022-04-13,1502,1502-01,1143345,Yes,164.87,yahoo.com,Organic Dried Mango,Dried Fruit,Dried Fruit,Mango,"no sulphur dioxide,kosher pareve,organic,kosher,certified gluten-free,no sugar added,gluten-free","natural,no sulphur dioxide,kosher pareve,whole 30,dried fruit,snacks,vegan,organic,kosher,paleo,certified gluten-free,no sugar added,best sellers,gluten-free",Yes,Large 1 Pound Bag,,0,"Dried Fruit,Nuts",New York,NY,US,14.99,14.99,14.99,2017-01-03,2017-01-03 11:39:17,2022-04-13 06:54:23,No,0,,1,1,L,No,0,No,0,3,44.97,160.796203,0,0,0,0.36,0,3.713797,0,0,0,0,0,0,0,0,5.37
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12866875,1915399,2022-04-13,4003,4003-01,3843876,Yes,65.96,aol.com,Roasted Cashews (Salted),Nuts,Nuts,Cashews,"salted,certified gluten-free,gluten-free,kosher,sugar-free,roasted,kosher pareve","whole 30,salted,nuts and seeds,out of shell,certified gluten-free,gluten-free,decadent,nuts,paleo,kosher,snacks,best sellers,sugar-free,roasted,vegan,oil roasted,kosher pareve",Yes,Medium 1 Pound Bag,Iterable,6.99,"Nuts,Chocolates & Sweets,Gifts",Framingham,MA,US,13.99,13.99,13.99,2020-11-04,2020-11-04 07:26:16,2022-04-13 10:16:08,No,0,,1,1,M,Yes,0,No,0,1,13.99,65.570517,0,6.99,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,6.33
,,,12865810,,2022-04-13,1501,1501-01,2435021,No,106.92,hotmail.com,Organic Turkish Apricots,Dried Fruit,Dried Fruit,Apricots,"certified gluten-free,organic,kosher pareve,kosher,no sugar added,gluten-free,no sulphur dioxide","dried fruit,certified gluten-free,snacks,organic,kosher pareve,kosher,paleo,no sugar added,best sellers,gluten-free,natural,no sulphur dioxide",Yes,Small 1 Pound Bag,,0,"Dried Fruit,Nuts",San Diego,CA,US,11.99,11.99,11.99,,,2022-04-13 02:42:41,No,0,,1,1,S,No,0,No,0,3,35.97,104.883102,0,0,0,0.18,0,1.856898,0,0,0,0,0,0,0,0,6.86
(not set),,(none),12866782,2096246,2022-04-13,9540,9540-01,3927668,Yes,322.87,gmail.com,Jamaican Royal Nut Coffee,Coffees & Teas,"Coffees, Teas, & Drinks",Nuts,,,Yes,,(direct),0,"Gifts,Coffees & Teas",,,,11.99,11.99,11.99,2020-11-19,2020-11-19 16:39:38,2022-04-13 09:56:51,No,0,,1,1,,Yes,0,No,0,1,11.99,321.632068,0,0,0,0,0,1.237932,0,0,0,0,0,0,0,0,10.07
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12867650,756427,2022-04-13,4009,4009-01,2551382,Yes,111.93,sssnet.com,"Roasted Pistachios (Unsalted, No Shell)",Nuts,Nuts,Pistachios,"salt-free,certified gluten-free,kosher,roasted,gluten-free,kosher pareve","salt-free,baking,oil roasted,vegan,certified gluten-free,nuts and seeds,kosher,out of shell,nuts,roasted,gluten-free,unsalted,snacks,whole 30,kosher pareve",Yes,Medium 1 Pound Bag,Iterable,0,Nuts,,,,19.99,19.99,19.99,2019-01-16,2019-01-16 21:42:42,2022-04-13 11:54:38,No,0,,1,1,M,No,0,No,0,1,19.99,111.54051700000001,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,7.51
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867340,1818000,2022-04-13,8506,8506-01,3204319,Yes,106.49,gmail.com,Grande Gourmet Basket,Gifts,Gifts,Gift Baskets,"fruity,chocolate,salty,baskets,sweet,nutty","premium,dried fruit,birthday,fruity,nuts,chocolate,salty,thank you,gifts,baskets,congratulations,chocolate gifts,fruity gifts,sweet,sympathy,nutty",Yes,,Iterable,0,"Gifts,Greeting Cards",Brooklyn,NY,US,114.99,114.99,114.99,2020-06-18,2020-06-18 13:50:36,2022-04-13 11:22:19,No,0,,16,6.5,,Yes,-11.5,Yes,0,1,114.99,100.300338,0,0,0,0,0,6.189662,0,0,0,0,0,0,0,0,5.95
2022-03-17-Luck-Of-The-Irish-10-Off_DTC_1,,email,12866756,1805222,2022-04-13,5303,5303-01,3436362,Yes,62.92,msn.com,Gummy Red and Black Raspberries,Chocolates & Sweets,Chocolates & Sweets,Gummy Fruits,"black candy,fruity,old time candy,sweet,raspberry (flavor),gummy candy,red candy","fruity,old time candy,sweet,raspberry (flavor),chocolates & sweets",Yes,Small 1 Pound Bag,Iterable,0,"Snacks,Chocolates & Sweets,Seeds",Westminster,CO,US,5.99,5.99,5.99,2020-08-19,2020-08-19 18:42:13,2022-04-13 09:48:37,No,0,,1,1,S,No,0,No,0,1,5.99,62.241034,0,0,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,9.82
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12866969,,2022-04-13,1502,1502-01,1393940,No,63.44,gmail.com,Organic Dried Mango,Dried Fruit,Dried Fruit,Mango,"no sulphur dioxide,kosher pareve,organic,kosher,certified gluten-free,no sugar added,gluten-free","natural,no sulphur dioxide,kosher pareve,whole 30,dried fruit,snacks,vegan,organic,kosher,paleo,certified gluten-free,no sugar added,best sellers,gluten-free",Yes,Large 1 Pound Bag,Iterable,0,"Dried Fruit,Nuts",Orlando,FL,US,14.99,14.99,14.99,2020-12-07,2020-12-07 13:34:44,2022-04-13 10:29:24,No,0,,1,1,L,No,0,No,0,1,14.99,62.082068,0,0,0,0.12,0,1.237932,0,0,0,0,0,0,0,0,6.15
SEM Branded,google,cpc,12867704,1435308,2022-04-13,9759,9759-01,2565528,Yes,39.96,gmail.com,Moringa Powder,Powders,Cooking,Moringa Powder,"beauty,performance boosting,superfoods,gluten-free,immunity boosting,stress reducing,powders,mood boosting","beauty,performance boosting,superfoods,gluten-free,immunity boosting,best sellers,natural,paleo,stress reducing,powders,mood boosting",Yes,Large 1 Pound Bag,google,6.99,"Nuts,Cooking,Powders",Forreston,IL,US,13.99,13.99,13.99,,,2022-04-13 12:02:50,No,0,,1,1,L,No,0,No,0,1,13.99,38.602068,0,6.99,0,0.12,0,1.237932,0,0,0,0,0,0,0,0,9
(not set),,(none),12867102,1521657,2022-04-13,4008,4008-05,2574206,Yes,139.99,outlook.com,Roasted Pecans (Unsalted),Nuts,Nuts,Pecans,"roasted,gluten-free,kosher pareve,keto,kosher,salt-free,certified gluten-free","oil roasted,roasted,gluten-free,brewing,kosher pareve,paleo,vegan,keto,kosher,out of shell,whole 30,nuts and seeds,nuts,unsalted,salt-free,certified gluten-free",Yes,Brown 5 Pound Bag,(direct),0,Nuts,Kissimmee,FL,US,79.95,77.55,77.55,2019-05-30,2019-05-30 08:44:16,2022-04-13 10:48:08,No,0,,5,5,B,No,0,No,0,1,77.55,138.55206800000002,0,0,0,0.2,0,1.237932,0,0,0,0,0,0,0,0,6.7
auto-delivery-shipping-soon,,email,12867623,1657503,2022-04-13,2091,2091-01,3011519,Yes,111.88,gmail.com,Diced Medjool Dates,Dried Fruit,Dried Fruit,Dates,"diced fruit,kosher,kosher pareve,no sulphur dioxide","baking,dried fruit,diced fruit,kosher,paleo,kosher pareve,diced,no sulphur dioxide",Yes,Medium 1 Pound Bag,transactional,0,"Dried Fruit,Nuts,Powders,Seeds,Cooking,Coffees & Teas,Snacks",Brooklyn,NY,US,6.99,6.99,6.99,2020-04-18,2020-04-18 15:40:07,2022-04-13 11:51:51,No,0,,1,1,M,No,0,No,0,1,6.99,111.181034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,5.08
,,,12866692,,2022-04-13,2004,2004-05,2794662,No,66.4,icloud.com,Mixed Nuts (In Shell),Nuts,Nuts,Mixed Nuts,"kosher,gluten-free,kosher pareve,in shell,salt-free,certified gluten-free","nuts,kosher,natural,gluten-free,kosher pareve,whole 30,sprouting,assorted (flavor),nuts and seeds,in shell,salt-free,paleo,vegan,certified gluten-free",Yes,Brown 5 Pound Bag,,0,Nuts,Champaign,IL,US,34.95,33.2,33.2,,,2022-04-13 09:31:57,No,0,,5,5,B,No,0,No,0,2,66.4,63.524135,0,0,0,0.4,0,2.475865,0,0,0,0,0,0,0,0,5.23
SEM Branded,bing,cpc,12867375,1837136,2022-04-13,5323,5323-01,3365383,Yes,111.88,msn.com,Hunkey Dorey Popcorn Mix,Snacks,Chocolates & Sweets,Popcorn,sweet,sweet,Yes,Large Black Bag,bing,0,"Snacks,Nuts,Chocolates & Sweets",Camarillo,CA,US,8.99,8.99,8.99,2020-08-02,2020-08-02 18:10:37,2022-04-13 11:26:12,No,0,,1,1,LB,No,0,Yes,0,2,17.98,110.362068,0,0,0,0.28,0,1.237932,0,0,0,0,0,0,0,0,7.28
(not set),,(none),12866568,1903577,2022-04-13,8413,8413-01,3189011,Yes,61.92,aol.com,Mixed Olives,Snacks,Snacks,Olives,"salty,keto","salty,paleo,snacks,vegan,whole 30,keto",Yes,Small 1 Pound Bag,(direct),0,"Dried Fruit,Nuts,Snacks,Chocolates & Sweets",Athens,AL,US,4.99,4.99,4.99,2020-06-14,2020-06-14 11:17:27,2022-04-13 09:00:13,No,0,,0.55,0.55,S,Yes,0,No,0,1,4.99,61.268034,0,0,0,0.033,0,0.618966,0,0,0,0,0,0,0,0,9.82
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867326,1829768,2022-04-13,4017,4017-01,3533679,Yes,63.95,gmail.com,"Roasted Virginia Peanuts (Salted, No Shell)",Nuts,Nuts,Peanuts,"salted,virginia,roasted,certified gluten-free,kosher,gluten-free,kosher pareve","salted,virginia,roasted,best sellers,nuts and seeds,out of shell,certified gluten-free,kosher,nuts,oil roasted,gluten-free,kosher pareve",Yes,Medium 1 Pound Bag,Iterable,0,"Nuts,Chocolates & Sweets",Oyster Bay,NY,US,4.99,4.99,4.99,2020-09-10,2020-09-10 18:07:34,2022-04-13 11:19:58,No,0,,1,1,M,No,0,No,0,1,4.99,63.560517000000004,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,5.08
314743,,affiliate,12867493,2208447,2022-04-13,5347,5347-01,2483648,Yes,71.91,gmail.com,Orange Slices,Chocolates & Sweets,Chocolates & Sweets,Fruit,"old time candy,fruity,orange candy,orange (flavor),gummy candy,sweet","chocolates & sweets,old time candy,fruity,orange (flavor),sweet",Yes,Small 1 Pound Bag,shareasale,0,"Dried Fruit,Snacks,Nuts,Chocolates & Sweets,Seeds",Norwalk,CT,US,4.99,4.99,4.99,2018-11-18,2018-11-18 10:32:23,2022-04-13 11:39:06,No,0,,1,1,S,No,0,No,0,1,4.99,71.231034,0,0,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,5.08
,,,12867600,,2022-04-13,1041,1041-01,3332504,No,59.93,hotmail.com,Crystallized Ginger,Dried Fruit,Dried Fruit,Crystallized Ginger,"kosher pareve,gluten-free,kosher,certified gluten-free","kosher pareve,dried fruit,gluten-free,kosher,certified gluten-free,best sellers",Yes,Medium 1 Pound Bag,,0,"Dried Fruit,Powders,Nuts,Chocolates & Sweets,Snacks",Olga,WA,US,6.99,6.99,6.99,2020-07-25,2020-07-25 12:59:33,2022-04-13 11:49:58,No,0,,1,1,M,No,0,No,0,1,6.99,59.231034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,14.79
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12867007,1825389,2022-04-13,1014,1014-01,3515463,Yes,52.73,yahoo.com,Dried Cantaloupe,Dried Fruit,Dried Fruit,Cantaloupe,"gluten-free,kosher pareve,certified gluten-free,kosher","snacks,gluten-free,dried fruit,kosher pareve,certified gluten-free,kosher",Yes,Medium 1 Pound Bag,Iterable,6.99,Dried Fruit,Sugar Land,TX,US,6.99,6.99,6.99,2020-09-06,2020-09-06 19:06:21,2022-04-13 10:34:18,No,0,,1,1,M,No,0,No,0,1,6.99,52.031034,0,6.99,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,11.76
Automated-Abandoned-Cart_3_Returning_b,,email,12866396,1658539,2022-04-13,1015,1015-01,3013688,Yes,77.93,msn.com,Sour (Tart) Cherries,Dried Fruit,Dried Fruit,Cherries,"certified gluten-free,gluten-free,kosher pareve,no sulphur dioxide,sweet,kosher","certified gluten-free,baking,gluten-free,dried fruit,best sellers,kosher pareve,no sulphur dioxide,sweet,snacks,kosher",Yes,Small 1 Pound Bag,Iterable,0,"Dried Fruit,Nuts,Chocolates & Sweets,Seeds",scarsdale,NY,US,13.99,13.99,13.99,2020-04-20,2020-04-20 12:49:50,2022-04-13 07:54:52,No,0,,1,1,S,No,0,No,0,1,13.99,77.251034,0,0,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,6.11
SEM NB [Dried Fruit],bing,cpc,12866902,1637845,2022-04-13,5345,5345-01,902830,Yes,39.96,yahoo.com,Dark Chocolate Almond Bark,Nuts,Nuts,Almonds,"dark chocolate,old time candy,chocolate","dark chocolate,old time candy,chocolates & sweets,chocolate,nuts",Yes,Small Black Bag,bing,6.99,Nuts,Hawthorn Woods,IL,US,10.99,10.99,10.99,2020-02-19,2020-02-19 12:06:35,2022-04-13 10:20:19,No,0,,0.5,0.5,SB,No,0,Yes,0,3,32.97,37.953102,0,6.99,0,0.15,0,1.856898,0,0,0,0,0,0,0,0,5.23
auto-delivery-shipping-soon,,email,12867623,1657503,2022-04-13,1513,1513-01,3011519,Yes,111.88,gmail.com,Organic Dried Apples,Dried Fruit,Dried Fruit,Apples,"organic,gluten-free,no sugar added,certified gluten-free,kosher,kosher pareve,no sulphur dioxide","organic,paleo,gluten-free,no sugar added,certified gluten-free,natural,snacks,kosher,kosher pareve,dried fruit,no sulphur dioxide",Yes,Large 1 Pound Bag,transactional,0,"Dried Fruit,Nuts,Powders,Seeds,Cooking,Coffees & Teas,Snacks",Brooklyn,NY,US,12.99,12.99,12.99,2020-04-18,2020-04-18 15:40:07,2022-04-13 11:51:51,No,0,,1,1,L,No,0,No,0,1,12.99,111.14103399999999,0,0,0,0.12,0,0.618966,0,0,0,0,0,0,0,0,5.08
,,,12867086,1650757,2022-04-13,1041,1041-05,571868,Yes,96.9,gmail.com,Crystallized Ginger,Dried Fruit,Dried Fruit,Crystallized Ginger,"kosher pareve,gluten-free,kosher,certified gluten-free","kosher pareve,dried fruit,gluten-free,kosher,certified gluten-free,best sellers",Yes,White 5 Pound Bag,,0,"Dried Fruit,Nuts",Morgantown,WV,US,34.95,33.9,33.9,2015-05-25,2015-05-25 08:45:46,2022-04-13 10:46:13,No,0,,5,5,W,No,0,No,0,1,33.9,95.462068,0,0,0,0.2,0,1.237932,0,0,0,0,0,0,0,0,9.82
314743,,affiliate,12866843,,2022-04-13,5039,5039-01,3487582,No,59.93,juno.com,Chocolate Covered Pretzels,Chocolates & Sweets,Chocolates & Sweets,Pretzels,"kosher,chocolate,milk chocolate,salted,pretzels,kosher dairy,sweet,chocolate covered","kosher,chocolate,milk chocolate,salted,chocolates & sweets,kosher dairy,sweet,chocolate covered,decadent,best sellers",Yes,Large Black Bag,shareasale,0,"Snacks,Chocolates & Sweets",Hoschton,GA,US,6.99,6.99,6.99,2020-08-31,2020-08-31 16:16:51,2022-04-13 10:10:24,No,0,,1,1,LB,Yes,0,Yes,0,1,6.99,59.171034,0,0,0,0.14,0,0.618966,0,0,0,0,0,0,0,0,6.11
,,,12866115,1625275,2022-04-13,1512,1512-01,2938353,Yes,167.53,dynamiccc.com,Organic Raisins,Dried Fruit,Dried Fruit,Raisins,"gluten-free,certified gluten-free,kosher pareve,no sugar added,kosher,organic,no sulphur dioxide","gluten-free,certified gluten-free,dried fruit,kosher pareve,natural,no sugar added,kosher,snacks,organic,paleo,best sellers,whole 30,cooking,no sulphur dioxide,baking",Yes,Medium 1 Pound Bag,,0,"Dried Fruit,Nuts",Adams,OR,US,6.99,6.64,6.99,2020-01-13,2020-01-13 13:00:27,2022-04-13 05:04:28,No,-0.35,,1,1,M,No,0,No,0,1,6.64,166.831034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,19.39,19.39
Automated-Abandoned-Cart_2_FTB_a,,email,12866527,,2022-04-13,8368,8368-01,5476965,No,60.92,yahoo.com,Jordan Almonds (Turquoise),Nuts,Jordan Almonds,Jordan Almonds,"kosher pareve,blue candy,jordan almonds,kosher,candied","chocolates & sweets,kosher pareve,jordan almonds,kosher,nuts,candied",Yes,Small 1 Pound Bag,Iterable,0,"Nuts,Chocolates & Sweets,Seeds",,,,8.99,8.99,8.99,2021-10-18,2021-10-18 01:24:53,2022-04-13 08:48:57,No,0,,1,1,S,No,0,No,60.92,1,8.99,60.241034,0,0,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,0
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867635,1813886,2022-04-13,3014,3014-01,3470334,Yes,33.97,gmail.com,"Georgia Pecans (Raw, No Shell)",Nuts,Nuts,Pecans,"certified gluten-free,raw,gluten-free,keto,kosher pareve","baking,vegan,whole 30,paleo,nuts and seeds,nuts,best sellers,certified gluten-free,raw,gluten-free,keto,kosher pareve",Yes,Medium 1 Pound Bag,Iterable,6.99,Nuts,Quincy,MA,US,14.99,14.99,14.99,2020-08-27,2020-08-27 15:52:46,2022-04-13 11:53:19,No,0,,1,1,M,No,0,No,0,1,14.99,33.580517,0,6.99,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,6.33
,,,12867393,1072070,2022-04-13,3111,3111-30,669128,Yes,149.7,verizon.net,Organic Raw Peanuts (No Shell),Nuts,Nuts,Peanuts,"organic,raw,kosher,gluten-free,kosher pareve,salt-free,certified gluten-free","organic,raw,kosher,out of shell,sprouting,gluten-free,kosher pareve,nuts and seeds,nuts,natural,salt-free,certified gluten-free",Yes,Durey Libby box,,0,Nuts,Northfield,MA,US,149.7,149.7,149.7,2015-09-15,2015-09-15 09:10:47,2022-04-13 11:28:13,No,0,,30,30,DL,No,0,No,0,1,149.7,146.005169,0,0,0,0.6,0,3.094831,0,0,0,0,0,0,0,0,14.86
(not set),,(none),12867694,2346650,2022-04-13,5135,5135-01,4701920,Yes,67.94,gmail.com,Butter Toffee Pecans,Nuts,Nuts,Pecans,"gluten-free,kosher dairy,kosher,candied","out of shell,gluten-free,glazed,decadent,nuts,nuts and seeds,chocolates & sweets,kosher dairy,kosher,butter toffee,candied",Yes,Medium 1 Pound Bag,(direct),0,"Chocolates & Sweets,Nuts,Powders,Snacks,Coffees & Teas",Phoenixville,PA,US,15.99,15.99,15.99,2021-03-29,2021-03-29 15:38:49,2022-04-13 12:00:57,No,0,,1,1,M,No,0,Yes,0,1,15.99,67.241034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,6.11
,,,12867186,1617413,2022-04-13,5015,5015-01,2917395,Yes,79.91,yahoo.com,Malted Milk Balls,Chocolates & Sweets,Chocolates & Sweets,Malted Milk Balls,"kosher,milk chocolate,sweet,malt,kosher dairy,chocolate,brown candy","kosher,milk chocolate,sweet,best sellers,chocolates & sweets,malt,kosher dairy,chocolate",Yes,Medium 1 Pound Bag,,0,"Nuts,Chocolates & Sweets,Baking,Snacks",Oak Lawn,IL,US,9.99,9.99,9.99,2019-12-16,2019-12-16 15:47:54,2022-04-13 11:00:48,No,0,,1,1,M,No,0,Yes,0,1,9.99,79.520517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,9.96
,,,12867044,1728727,2022-04-13,2635,2635-01,3124735,Yes,62.91,gmail.com,Unsweetened Milked Walnuts,Coffees & Teas,"Coffees, Teas, & Drinks",Nut & Plant Based Milks,"no sugar added,kosher,gluten-free,unsweetened,kosher pareve,keto","no sugar added,kosher,gluten-free,vegan,nuts,unsweetened,kosher pareve,keto",Yes,Bubble Wrap,,0,"Cooking,Coffees & Teas,Snacks,Nuts",Brooklyn,NY,US,7.99,7.99,7.99,2020-06-17,2020-06-17 19:20:19,2022-04-13 10:39:02,No,0,,2,2,BW,No,0,No,0,1,7.99,62.291033999999996,0,0,0,0,0,0.618966,0,0,0,0,0,0,0,0,5.08
(not set),,(none),12867509,,2022-04-13,3002,3002-25,3813367,No,174.75,portorico.com,Slivered Almonds,Nuts,Nuts,Almonds,"certified gluten-free,salt-free,kosher pareve,gluten-free,pieces,chopped and sliced,kosher","certified gluten-free,out of shell,salt-free,nuts and seeds,baking,unsalted,kosher pareve,gluten-free,pieces,nuts,natural,chopped and sliced,kosher",Yes,38 lb. box,(direct),0,Nuts,New York,NY,US,174.75,174.75,174.75,2020-11-09,2020-11-09 12:01:53,2022-04-13 11:41:28,No,0,,25,25,38,No,0,No,0,1,174.75,171.155169,0,0,0,0.5,0,3.094831,0,0,0,0,0,0,0,0,7.26
,,,12866175,1696429,2022-04-13,1510,1510-01,3108711,Yes,101.59,gmail.com,Organic Medjool Dates,Dried Fruit,Dried Fruit,Dates,"organic,gluten-free,no sulphur dioxide,sweet,kosher,kosher pareve,certified gluten-free,no sugar added","organic,paleo,best sellers,gluten-free,premium,no sulphur dioxide,sweet,kosher,natural,kosher pareve,certified gluten-free,snacks,vegan,no sugar added,dried fruit",Yes,Medium 1 Pound Bag,,0,"Dried Fruit,Nuts",Hood River,OR,US,10.99,10.44,10.99,2020-05-22,2020-05-22 21:47:58,2022-04-13 05:05:21,No,-0.55,,1,1,M,No,0,No,0,1,10.44,100.891034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,6.58
